Date,Date,Open,High,Low,Close,RFR Close Predictions,Polynomial Close Predictions,Ada Close Predictions
2018-06-12,17694.0,363.600006,365.980011,362.0,363.829987,362.231618051115,363.0402245464046,362.4189752089475
2018-06-13,17695.0,367.529999,384.25,364.109985,379.929993,379.2315380241583,378.07836511135815,379.64387522918304
2018-06-14,17696.0,384.269989,395.029999,383.25,392.869995,390.6945561321771,391.00826044582743,390.9585622303134
2018-06-15,17697.0,390.709991,398.859985,387.51001,391.980011,394.0335033660191,394.09310424388855,393.82652370090364
2018-06-18,17700.0,387.720001,393.160004,386.5,390.399994,387.6667676306181,389.8656358539582,387.8594699979799
2018-06-19,17701.0,389.5,405.290009,388.5,404.980011,401.34056675871216,400.46782475623394,403.3803978537251
2018-06-20,17702.0,415.149994,419.470001,409.600006,416.76001,417.35893248491203,414.0106074973855,417.38759272097474
2018-06-21,17703.0,421.380005,423.209991,406.369995,415.440002,415.2241165474785,413.181058099355,414.0622205954209
2018-06-22,17704.0,419.980011,420.5,409.649994,411.089996,415.68331518932604,413.12907033345886,414.2108553741657
2018-06-25,17707.0,404.690002,405.98999,378.75,384.480011,396.6848802245029,390.3784837819567,395.6014705935119
2018-06-26,17708.0,393.279999,404.779999,389.049988,399.390015,399.4084116837545,398.9371702202243,399.2329153782498
2018-06-27,17709.0,407.559998,411.589996,390.0,390.390015,395.2593120562033,399.91936854342396,391.3808409454984
2018-06-28,17710.0,395.0,396.899994,387.100006,395.420013,394.3152980179304,390.65262933731407,393.14858177367705
2018-06-29,17711.0,399.190002,401.329987,390.549988,391.429993,394.45031547901993,394.6457688515806,393.61664660144925
2018-07-02,17714.0,385.450012,398.380005,380.0,398.179993,395.7553927745492,391.6954974021355,395.8509194068014
2018-07-03,17715.0,399.48999,399.980011,389.5,390.519989,394.60978642766946,392.8502472479826,393.5385177740671
2018-07-05,17717.0,393.799988,399.23999,390.859985,398.390015,396.36206836328205,395.02899699457225,396.35669141656575
2018-07-06,17718.0,397.450012,408.649994,395.519989,408.25,407.11500407016246,404.0451383563217,406.5352851773345
2018-07-09,17721.0,415.950012,419.119995,411.100006,418.970001,417.65755513385517,414.20623743794374,417.2073901109448
2018-07-10,17722.0,417.23999,419.440002,413.079987,415.630005,416.88271531899363,415.0367699636213,416.83050378656935
2018-07-11,17723.0,411.339996,419.769989,410.600006,418.649994,418.5778693932702,416.1858315579566,418.369950136428
2018-07-12,17724.0,415.160004,416.790009,407.799988,413.5,414.45547527703843,410.80995495360264,415.4593136400611
2018-07-13,17725.0,409.190002,410.0,395.079987,395.799988,407.7061735575026,400.6378806923654,405.84469205569127
2018-07-16,17728.0,398.980011,403.359985,391.75,400.480011,398.6814916986812,397.0590741861826,399.1018275063602
2018-07-17,17729.0,346.950012,385.0,344.0,379.480011,377.48987056216157,375.7578387348732,378.48370357616704
2018-07-18,17730.0,381.23999,383.130005,372.359985,375.130005,375.5614814106134,376.4112592221036,376.39384631941886
2018-07-19,17731.0,371.059998,375.75,363.0,364.230011,366.77086458363,369.0460405963083,366.41882164900744
2018-07-20,17732.0,364.920013,370.5,360.140015,361.049988,365.0352532120704,365.3875795962449,363.51104870095196
2018-07-23,17735.0,359.149994,363.899994,353.600006,362.660004,359.6300227672328,358.5328729348331,360.2501816988491
